Decade,Average,Volatility,Minimum,Maximum
2020,8.620000000000001,23.98280713291677,-28.3,163.1
1970,5.7250000000000005,13.818713475040402,-22.5,59.4
2000,4.4,14.84989464842032,-36.5,61.2
2010,2.440625,12.471670019128862,-59.1,37.5
1980,1.7639240506329112,8.971094546931893,-23.1,41.3
1990,-0.16812499999999986,9.561830381043634,-35.3,25.6
